stakingProvider,amount,amountDeauthorizing,relativeAmount,endDeauth,endCommitment,commitment,minDeauthDate
0xfef6503a2cf17db14fae5d5874a50522677cfcec,6108467,0,0.2556,,2025-06-27 03:43:11,Active,2025-12-26 03:43:11
0x56c968857ef4919c67d151b56e7073065994c97a,5935000,0,0.2484,,,No,2025-07-31 14:07:14
0x42bf5ff61279edda10a6e8268a30640ed710a866,5681535,0,0.2378,,2025-07-07 20:24:47,Active,2026-01-05 20:24:47
0x0c19a07242755b3f107cfb4c74d236a18548541f,5680060,0,0.2377,,,No,2025-07-31 14:07:14
0x9a4eb640ef74a6c3756146b99d91cb3529d9387c,5501000,0,0.2302,,,No,2025-07-31 14:07:14
0xe01be841b1e192390949e9ea1779b1897e105802,5046100,0,0.2112,,,No,2025-07-31 14:07:14
0x4c496f9903450aa2092a39efe722e6971d8fab49,4569750,0,0.1912,,,No,2025-07-31 14:07:14
0x4553daa29662971ff6f1ca59390287e8bc25825f,4093732,0,0.1713,,2025-07-08 21:59:23,Active,2026-01-06 21:59:23
0x290ca15e750d1e356a2fcff3d33d7646f3241487,3889718,3889718,0.1628,2025-02-24 14:55:35,,No,2025-02-24 14:55:35
0xd0908b1e0f6e64e3097c663bf95e2e9c040dd40d,3577198,0,0.1497,,,No,2025-07-31 14:07:14
0xeb0b91452e77335c18dee21467331dadaa77da8d,3413647,0,0.1428,,,No,2025-07-31 14:07:14
0xd517479acaef258baa3ba6a351e9c714a79d597e,3402650,0,0.1424,,,No,2025-07-31 14:07:14
0x606c9936a8b5c70061b3464424ab7d45302ef9b7,3204352,0,0.1341,,,No,2025-07-31 14:07:14
0x2de8481f08e5c2fe88c653a64ae42ca00b20e98d,3080540,0,0.1289,,,No,2025-07-31 14:07:14
0x6c43dbdd7e44892db4fd81c92fadfdd7e54c408e,3000000,0,0.1255,,,No,2025-07-31 14:07:14
0x700277deaf138c6af9b3177f83918b6a3544f27f,2937281,0,0.1229,,,No,2025-07-31 14:07:14
0x0f35c836864875c8e9392da147f41300ab538091,2651188,0,0.1109,,2025-06-18 04:57:35,Active,2025-12-17 04:57:35
0x047ad25d36c207e2c7ddedae5b481acf46841201,2410761,2410761,0.1009,2025-05-26 04:39:35,,No,2025-05-26 04:39:35
0xb70aa6a5e459bec8f56a36727b97b1d4277437f7,2298018,0,0.0962,,2025-06-20 11:37:47,Active,2025-12-19 11:37:47
0x9c7c2b00ea7800fbe32fd50d844645db07c27a74,2123018,0,0.0888,,2025-07-08 04:40:47,Active,2026-01-06 04:40:47
0xc24cacfae6e5d0177e294a89486afddf2144f20f,2000000,2000000,0.0837,2024-12-04 07:17:23,,No,2024-12-04 07:17:23
0x956a3999f4b9f9e4e46b96418121d4871082552a,1969285,0,0.0824,,,No,2025-07-31 14:07:14
0x378c89b5b93667a005856822e1b65e2d7c076373,1693454,0,0.0709,,2024-06-18 22:10:35,Expired,2025-07-31 14:07:14
0x9709173ed6f194a953a77204359dbfd0e88a54d0,1676246,0,0.0701,,,No,2025-07-31 14:07:14
0xece5148dc2ec7031c2171959bad71e9a3bb06df5,1647064,0,0.0689,,2025-06-19 06:26:59,Active,2025-12-18 06:26:59
0xa2e44666bab3ed3be4f87b7c18ed2ffb911c0bef,1408443,0,0.0589,,,No,2025-07-31 14:07:14
0x708eccc3d3ad8ecc5b2bc018303ced4de44b8377,1400000,0,0.0586,,,No,2025-07-31 14:07:14
0x05015cc23df7a1b8d459517088e00baec5fbc373,1397232,0,0.0585,,,No,2025-07-31 14:07:14
0x492af9a0b99fed66dce727bb96ad133db83cdaf6,1348383,0,0.0564,,,No,2025-07-31 14:07:14
0xe29dcd83466ddc28ca23da41ac44e63512071265,1307557,1307557,0.0547,2024-12-17 23:27:23,,No,2024-12-17 23:27:23
0xe3b1c5653d520e8e8c60fe76dbc61f0e2259a376,1239304,0,0.0519,,2025-06-21 02:40:59,Active,2025-12-20 02:40:59
