stakingProvider,amount,relativeAmount,minDeauthDate,commitment,ritual34?,ritual40?
0xe4a3492c8b085ab5edb6fdae329f172056f6b04e,7120496,0.003,2025-07-31 16:09:56,No,False,False
0xa829c2e33907ab03d27d5dbb39effd8386112789,6996632,0.0029,2025-07-31 16:09:56,Expired,True,True
0xd6edf0bc0c19f87ecef67632bfcd212ce8324ab9,6655083,0.0028,2025-07-31 16:09:56,No,True,False
0xd680b01503cf95a489010da7409980060991d096,6430423,0.0027,2025-07-31 16:09:56,No,False,False
0xfca99f5b5ecf19343e309d8dbe79f15a0a389769,6292975,0.0026,2025-07-31 16:09:56,No,False,False
0xfef6503a2cf17db14fae5d5874a50522677cfcec,6108467,0.0026,2025-12-26 03:43:11,Active,False,False
0x56c968857ef4919c67d151b56e7073065994c97a,5935000,0.0025,2025-07-31 16:09:56,No,True,False
0x42bf5ff61279edda10a6e8268a30640ed710a866,5681535,0.0024,2026-01-05 20:24:47,Active,True,True
0x0c19a07242755b3f107cfb4c74d236a18548541f,5680060,0.0024,2025-07-31 16:09:56,No,False,False
0x9a4eb640ef74a6c3756146b99d91cb3529d9387c,5501000,0.0023,2025-07-31 16:09:56,No,False,False
0xe01be841b1e192390949e9ea1779b1897e105802,5046100,0.0021,2025-07-31 16:09:56,No,False,True
0x4c496f9903450aa2092a39efe722e6971d8fab49,4569750,0.0019,2025-07-31 16:09:56,No,False,True
0x4553daa29662971ff6f1ca59390287e8bc25825f,4093732,0.0017,2026-01-06 21:59:23,Active,False,False
0x290ca15e750d1e356a2fcff3d33d7646f3241487,3889718,0.0016,2025-02-24 14:55:35,No,False,False
0xd0908b1e0f6e64e3097c663bf95e2e9c040dd40d,3577198,0.0015,2025-07-31 16:09:56,No,False,True
0xeb0b91452e77335c18dee21467331dadaa77da8d,3413647,0.0014,2025-07-31 16:09:56,No,False,False
0xd517479acaef258baa3ba6a351e9c714a79d597e,3402650,0.0014,2025-07-31 16:09:56,No,True,True
0x606c9936a8b5c70061b3464424ab7d45302ef9b7,3204352,0.0013,2025-07-31 16:09:56,No,False,True
0x2de8481f08e5c2fe88c653a64ae42ca00b20e98d,3080540,0.0013,2025-07-31 16:09:56,No,True,False
0x6c43dbdd7e44892db4fd81c92fadfdd7e54c408e,3000000,0.0013,2025-07-31 16:09:56,No,False,False
